lambda,policy,n,Q_vehph,wait_mean_s,wait_p95_s,travel_mean_s
0.05,base,21,210.0,44.25,101.40,101.59
0.1,base,21,210.0,99.60,209.20,157.89
0.15,base,22,220.0,124.50,249.62,182.93
0.2,base,22,220.0,133.94,269.84,192.37
0.25,base,22,220.0,139.68,281.86,198.16
0.3,base,22,220.0,143.02,289.15,201.83
0.35,base,22,220.0,145.55,294.65,204.65
0.4,base,22,220.0,146.98,299.33,206.56
0.45,base,22,220.0,147.88,302.09,208.02
0.5,base,22,220.0,148.79,304.25,209.53
0.05,cloud,35,350.0,0.00,0.00,53.40
0.1,cloud,70,700.0,2.56,11.87,74.35
0.15,cloud,71,710.0,26.83,77.70,121.12
0.2,cloud,62,620.0,44.64,147.18,145.27
0.25,cloud,55,550.0,63.39,173.76,165.83
0.3,cloud,53,530.0,77.07,207.52,178.33
0.35,cloud,55,550.0,77.92,195.62,184.31
0.4,cloud,53,530.0,79.29,208.20,186.38
0.45,cloud,52,520.0,86.25,213.34,191.76
0.5,cloud,51,510.0,85.84,218.50,192.40
