lam,pol,seed,Q,W
0.05,base,1,192.000,67.662
0.05,base,2,210.000,99.711
0.05,base,3,216.000,96.247
0.05,signal,1,252.000,4.036
0.05,signal,2,324.000,6.565
0.05,signal,3,324.000,6.065
0.05,cloud,1,264.000,0.000
0.05,cloud,2,336.000,0.000
0.05,cloud,3,342.000,0.000
0.1,base,1,204.000,157.838
0.1,base,2,210.000,203.420
0.1,base,3,216.000,193.825
0.1,signal,1,600.000,11.426
0.1,signal,2,690.000,17.530
0.1,signal,3,702.000,14.112
0.1,cloud,1,636.000,1.516
0.1,cloud,2,744.000,2.342
0.1,cloud,3,726.000,1.959
0.15,base,1,204.000,204.897
0.15,base,2,210.000,236.834
0.15,base,3,216.000,225.147
0.15,signal,1,774.000,53.980
0.15,signal,2,834.000,57.119
0.15,signal,3,840.000,52.689
0.15,cloud,1,726.000,27.914
0.15,cloud,2,816.000,47.589
0.15,cloud,3,750.000,46.042
0.2,base,1,204.000,228.915
0.2,base,2,210.000,252.131
0.2,base,3,216.000,240.594
0.2,signal,1,810.000,92.223
0.2,signal,2,834.000,99.701
0.2,signal,3,852.000,94.425
0.2,cloud,1,750.000,67.535
0.2,cloud,2,696.000,114.927
0.2,cloud,3,642.000,114.192
0.25,base,1,204.000,241.944
0.25,base,2,210.000,260.634
0.25,base,3,216.000,250.022
0.25,signal,1,834.000,115.126
0.25,signal,2,834.000,127.202
0.25,signal,3,858.000,121.403
0.25,cloud,1,684.000,104.375
0.25,cloud,2,606.000,138.690
0.25,cloud,3,576.000,156.585
0.3,base,1,204.000,250.418
0.3,base,2,210.000,265.520
0.3,base,3,216.000,267.586
0.3,signal,1,834.000,135.408
0.3,signal,2,846.000,142.176
0.3,signal,3,852.000,141.460
0.3,cloud,1,594.000,137.547
0.3,cloud,2,564.000,170.993
0.3,cloud,3,528.000,176.400
0.4,base,1,204.000,260.168
0.4,base,2,210.000,270.277
0.4,base,3,216.000,273.303
0.4,signal,1,858.000,151.119
0.4,signal,2,846.000,163.538
0.4,signal,3,852.000,164.595
0.4,cloud,1,564.000,158.611
0.4,cloud,2,540.000,193.220
0.4,cloud,3,552.000,194.827
0.5,base,1,204.000,264.929
0.5,base,2,210.000,271.729
0.5,base,3,216.000,275.469
0.5,signal,1,858.000,167.632
0.5,signal,2,858.000,172.710
0.5,signal,3,852.000,174.830
0.5,cloud,1,540.000,182.466
0.5,cloud,2,522.000,195.924
0.5,cloud,3,528.000,193.633
0.05,base,4,198.000,116.630
0.05,base,5,222.000,79.805
0.05,base,6,210.000,99.714
0.05,base,7,210.000,97.617
0.05,base,8,210.000,118.074
0.05,base,9,180.000,89.037
0.05,base,10,210.000,161.583
0.05,signal,4,330.000,8.233
0.05,signal,5,342.000,6.604
0.05,signal,6,348.000,5.686
0.05,signal,7,402.000,9.448
0.05,signal,8,342.000,4.956
0.05,signal,9,306.000,5.873
0.05,signal,10,420.000,5.653
0.05,cloud,4,354.000,0.000
0.05,cloud,5,354.000,0.000
0.05,cloud,6,354.000,0.017
0.05,cloud,7,408.000,0.000
0.05,cloud,8,342.000,0.000
0.05,cloud,9,318.000,0.000
0.05,cloud,10,426.000,0.177
0.1,base,4,210.000,196.660
0.1,base,5,216.000,189.647
0.1,base,6,216.000,196.467
0.1,base,7,210.000,193.580
0.1,base,8,216.000,204.219
0.1,base,9,204.000,185.456
0.1,base,10,210.000,230.580
0.1,signal,4,648.000,14.038
0.1,signal,5,648.000,8.943
0.1,signal,6,738.000,17.211
0.1,signal,7,666.000,20.683
0.1,signal,8,690.000,10.928
0.1,signal,9,618.000,17.528
0.1,signal,10,768.000,22.724
0.1,cloud,4,672.000,1.292
0.1,cloud,5,666.000,2.169
0.1,cloud,6,732.000,6.618
0.1,cloud,7,684.000,2.017
0.1,cloud,8,702.000,1.079
0.1,cloud,9,642.000,1.146
0.1,cloud,10,786.000,6.492
0.15,base,4,216.000,231.031
0.15,base,5,204.000,234.450
0.15,base,6,216.000,228.383
0.15,base,7,204.000,232.409
0.15,base,8,210.000,238.983
0.15,base,9,210.000,212.597
0.15,base,10,210.000,252.889
0.15,signal,4,810.000,55.116
0.15,signal,5,816.000,50.770
0.15,signal,6,828.000,66.391
0.15,signal,7,816.000,60.595
0.15,signal,8,846.000,45.613
0.15,signal,9,774.000,48.208
0.15,signal,10,840.000,84.021
0.15,cloud,4,768.000,31.636
0.15,cloud,5,792.000,40.010
0.15,cloud,6,714.000,59.718
0.15,cloud,7,732.000,62.341
0.15,cloud,8,756.000,41.245
0.15,cloud,9,786.000,42.688
0.15,cloud,10,762.000,98.190
0.2,base,4,216.000,244.792
0.2,base,5,204.000,250.159
0.2,base,6,216.000,243.753
0.2,base,7,204.000,247.612
0.2,base,8,210.000,252.594
0.2,base,9,222.000,231.873
0.2,base,10,210.000,263.786
0.2,signal,4,816.000,100.774
0.2,signal,5,846.000,88.431
0.2,signal,6,840.000,104.864
0.2,signal,7,840.000,98.879
0.2,signal,8,846.000,92.571
0.2,signal,9,822.000,82.735
0.2,signal,10,840.000,123.148
0.2,cloud,4,702.000,96.985
0.2,cloud,5,684.000,99.500
0.2,cloud,6,624.000,111.305
0.2,cloud,7,654.000,127.219
0.2,cloud,8,672.000,102.504
0.2,cloud,9,684.000,98.008
0.2,cloud,10,648.000,158.146
0.25,base,4,210.000,259.117
0.25,base,5,204.000,258.368
0.25,base,6,216.000,252.900
0.25,base,7,210.000,263.709
0.25,base,8,210.000,260.289
0.25,base,9,222.000,237.576
0.25,base,10,210.000,268.289
0.25,signal,4,834.000,122.696
0.25,signal,5,846.000,118.457
0.25,signal,6,840.000,133.481
0.25,signal,7,846.000,124.182
0.25,signal,8,846.000,124.027
0.25,signal,9,822.000,114.776
0.25,signal,10,840.000,143.921
0.25,cloud,4,636.000,154.085
0.25,cloud,5,624.000,154.856
0.25,cloud,6,606.000,142.174
0.25,cloud,7,612.000,162.533
0.25,cloud,8,642.000,131.347
0.25,cloud,9,696.000,109.043
0.3,base,4,210.000,263.951
0.3,base,5,204.000,263.068
0.3,base,6,216.000,258.392
0.3,base,7,210.000,268.337
0.3,base,8,210.000,264.529
0.3,base,9,216.000,248.747
0.3,base,10,210.000,270.186
0.3,signal,4,846.000,134.504
0.3,signal,5,846.000,138.352
0.3,signal,6,840.000,145.989
0.3,signal,7,834.000,147.569
0.3,signal,8,846.000,139.810
0.3,signal,9,822.000,137.131
0.3,signal,10,840.000,157.250
0.3,cloud,4,606.000,178.409
0.3,cloud,5,576.000,168.908
0.3,cloud,6,558.000,160.469
0.3,cloud,7,564.000,175.562
0.3,cloud,8,576.000,168.718
0.3,cloud,9,666.000,129.409
0.3,cloud,10,582.000,174.525
0.4,cloud,4,540.000,173.333
0.4,signal,4,846.000,161.428
0.4,cloud,5,522.000,197.391
0.4,signal,5,858.000,159.531
0.4,cloud,6,552.000,189.161
0.4,signal,6,852.000,166.517
0.4,cloud,7,552.000,185.361
0.4,signal,7,840.000,169.212
0.4,cloud,8,510.000,194.898
0.4,signal,8,846.000,164.355
0.4,cloud,9,576.000,162.245
0.4,signal,9,846.000,153.715
0.4,cloud,10,516.000,196.952
0.4,signal,10,846.000,172.179
0.5,cloud,4,516.000,195.440
0.5,signal,4,852.000,168.335
0.5,cloud,5,516.000,195.443
0.5,signal,5,852.000,169.511
0.5,cloud,6,510.000,196.004
0.5,signal,6,846.000,176.072
0.5,cloud,7,540.000,194.100
0.5,signal,7,840.000,177.149
0.5,cloud,8,510.000,199.769
0.5,cloud,9,522.000,182.324
0.5,cloud,10,516.000,202.430
0.5,signal,8,846.000,173.944
0.5,signal,9,852.000,166.668
0.5,signal,10,846.000,176.784
0.4,base,4,204.000,271.656
0.4,base,5,204.000,267.482
0.4,base,6,210.000,268.389
0.4,base,7,210.000,272.549
0.4,base,8,210.000,268.206
0.4,base,9,210.000,263.483
0.4,base,10,210.000,271.083
0.5,base,4,204.000,270.594
0.5,base,5,204.000,269.274
0.5,base,6,204.000,272.232
