cell,pol,seed,Wh,Wl
bal,base,1,269.347,231.488
bal,base,2,273.428,257.147
bal,base,3,263.917,271.256
bal,base,4,254.588,272.794
bal,base,5,272.259,253.876
bal,signal,1,147.454,123.534
bal,signal,2,145.780,138.722
bal,signal,3,134.656,148.075
bal,signal,4,135.730,133.296
bal,signal,5,145.941,130.869
bal,cloud,1,119.595,160.928
bal,cloud,2,163.474,178.511
bal,cloud,3,179.548,173.252
bal,cloud,4,184.558,172.840
bal,cloud,5,161.331,177.864
a83,base,1,251.241,137.859
a83,base,2,272.867,199.294
a83,base,3,264.953,139.329
a83,base,4,253.122,205.594
a83,base,5,265.876,205.359
a83,signal,1,147.479,7.778
a83,signal,2,158.690,9.292
a83,signal,3,173.329,7.050
a83,signal,4,154.009,5.262
a83,signal,5,157.424,7.911
a83,cloud,1,41.637,65.127
a83,cloud,2,67.914,66.032
a83,cloud,3,39.150,62.023
a83,cloud,4,78.618,96.485
a83,cloud,5,59.761,61.347
a95,base,1,268.831,14.400
a95,base,2,261.412,7.450
a95,base,3,273.218,2.275
a95,base,4,256.694,3.573
a95,base,5,301.613,7.900
a95,signal,1,144.930,4.646
a95,signal,2,159.220,4.270
a95,signal,3,165.356,5.608
a95,signal,4,157.310,4.920
a95,signal,5,159.329,5.269
a95,cloud,1,5.025,24.845
a95,cloud,2,4.525,28.700
a95,cloud,3,6.735,25.050
a95,cloud,4,4.414,15.622
a95,cloud,5,6.479,27.877
