share,pol,seed,Q,Wh,Wl,stops
0.5,base,1,216.00,188.12,50.44,3.694
0.5,base,2,210.00,204.16,150.57,5.343
0.5,base,3,216.00,173.63,165.25,5.222
0.5,base,4,204.00,136.63,210.35,5.206
0.5,base,5,216.00,188.30,141.76,5.056
0.5,signal,1,480.00,10.85,4.43,0.550
0.5,signal,2,582.00,9.66,15.79,0.701
0.5,signal,3,558.00,5.00,8.80,0.527
0.5,signal,4,522.00,8.95,8.86,0.540
0.5,signal,5,540.00,7.85,3.93,0.411
0.5,cloud,1,486.00,0.01,0.00,0.000
0.5,cloud,2,588.00,0.35,0.49,0.041
0.5,cloud,3,564.00,0.29,0.16,0.021
0.5,cloud,4,540.00,0.74,1.34,0.089
0.5,cloud,5,552.00,0.00,0.04,0.000
0.6,base,1,210.00,67.02,179.05,4.143
0.6,base,2,210.00,192.47,164.38,5.629
0.6,base,3,216.00,228.03,81.34,4.972
0.6,base,4,210.00,195.47,151.37,5.371
0.6,base,5,216.00,193.13,141.12,4.972
0.6,signal,1,492.00,9.72,4.92,0.476
0.6,signal,2,564.00,19.11,3.84,0.713
0.6,signal,3,558.00,13.43,8.82,0.720
0.6,signal,4,534.00,8.60,6.50,0.528
0.6,signal,5,534.00,12.38,5.05,0.562
0.6,cloud,1,498.00,0.04,0.00,0.000
0.6,cloud,2,588.00,0.65,0.73,0.061
0.6,cloud,3,564.00,0.10,0.11,0.000
0.6,cloud,4,546.00,1.01,0.87,0.066
0.6,cloud,5,546.00,0.00,0.02,0.000
0.7,base,1,216.00,144.78,70.23,3.778
0.7,base,2,210.00,210.53,113.44,5.029
0.7,base,3,210.00,233.03,40.75,4.371
0.7,base,4,216.00,203.54,114.37,5.028
0.7,base,5,222.00,210.41,89.99,4.243
0.7,signal,1,456.00,13.33,1.83,0.605
0.7,signal,2,540.00,21.01,9.14,0.856
0.7,signal,3,546.00,16.31,4.38,0.758
0.7,signal,4,504.00,13.78,6.39,0.643
0.7,signal,5,540.00,15.97,5.36,0.656
0.7,cloud,1,498.00,0.00,0.00,0.000
0.7,cloud,2,594.00,0.00,0.00,0.000
0.7,cloud,3,552.00,0.00,0.00,0.000
0.7,cloud,4,540.00,0.23,0.92,0.033
0.7,cloud,5,558.00,0.00,0.04,0.000
0.8,base,1,186.00,193.69,0.68,2.710
0.8,base,2,192.00,217.96,28.11,3.781
0.8,base,3,204.00,235.64,30.99,3.971
0.8,base,4,192.00,191.29,11.01,2.969
0.8,base,5,210.00,208.14,7.29,3.114
0.8,signal,1,456.00,14.33,5.11,0.645
0.8,signal,2,522.00,27.63,5.43,1.000
0.8,signal,3,540.00,23.28,3.33,0.967
0.8,signal,4,492.00,32.21,2.46,1.232
0.8,signal,5,510.00,20.69,5.30,0.871
0.8,cloud,1,510.00,0.00,0.00,0.000
0.8,cloud,2,618.00,0.18,1.58,0.029
0.8,cloud,3,558.00,0.00,0.00,0.000
0.8,cloud,4,546.00,0.01,0.04,0.000
0.8,cloud,5,546.00,0.00,0.00,0.000
0.9,base,1,150.00,186.23,3.09,3.920
0.9,base,2,138.00,245.54,0.00,4.739
0.9,base,3,132.00,250.29,0.00,5.318
0.9,base,4,156.00,221.75,0.31,4.000
0.9,base,5,156.00,233.64,1.39,3.885
0.9,signal,1,432.00,26.20,3.14,1.097
0.9,signal,2,450.00,46.23,5.72,1.840
0.9,signal,3,450.00,47.41,4.14,1.947
0.9,signal,4,456.00,46.92,5.32,1.763
0.9,signal,5,468.00,38.49,0.00,1.449
0.9,cloud,1,504.00,0.00,0.00,0.000
0.9,cloud,2,600.00,0.00,0.00,0.000
0.9,cloud,3,582.00,0.00,0.00,0.000
0.9,cloud,4,540.00,0.00,0.00,0.000
0.9,cloud,5,552.00,0.00,0.00,0.000
0.95,base,1,126.00,189.20,0.00,4.286
0.95,base,2,132.00,238.48,0.00,4.864
0.95,base,3,132.00,251.68,0.00,5.273
0.95,base,4,120.00,216.54,0.00,5.150
0.95,base,5,132.00,238.59,2.48,4.455
0.95,signal,1,414.00,24.15,4.73,1.087
0.95,signal,2,450.00,46.46,6.24,1.853
0.95,signal,3,456.00,47.42,0.00,1.829
0.95,signal,4,420.00,57.53,0.00,2.243
0.95,signal,5,450.00,40.30,4.66,1.627
0.95,cloud,1,510.00,0.00,0.00,0.000
0.95,cloud,2,606.00,0.00,0.00,0.000
0.95,cloud,3,558.00,0.00,0.00,0.000
0.95,cloud,4,540.00,0.00,0.00,0.000
0.95,cloud,5,552.00,0.00,0.00,0.000
