lam,pol,seed,Q,W,W95,Tt,stops
0.02,base,1,120.00,8.94,31.74,63.13,0.450
0.02,base,2,150.00,16.31,57.76,75.35,0.760
0.02,base,3,138.00,3.45,19.05,53.42,0.217
0.02,base,4,120.00,38.67,147.90,96.26,1.250
0.02,base,5,150.00,11.10,30.88,65.74,0.560
0.02,base,6,168.00,14.37,43.39,73.64,0.714
0.02,base,7,114.00,4.15,17.73,55.69,0.263
0.02,base,8,132.00,13.36,66.82,69.57,0.636
0.02,base,9,108.00,3.78,12.64,55.72,0.333
0.02,base,10,126.00,23.34,78.80,76.21,0.952
0.02,signal,1,126.00,4.46,12.70,63.12,0.476
0.02,signal,2,162.00,6.86,23.92,66.83,0.519
0.02,signal,3,144.00,4.97,21.10,64.91,0.458
0.02,signal,4,120.00,3.99,23.05,65.18,0.250
0.02,signal,5,144.00,6.67,20.61,65.50,0.458
0.02,signal,6,174.00,2.78,14.64,60.08,0.241
0.02,signal,7,114.00,3.87,16.84,59.19,0.421
0.02,signal,8,126.00,5.22,17.50,66.66,0.333
0.02,signal,9,102.00,7.25,21.30,63.60,0.529
0.02,signal,10,126.00,9.73,25.50,67.79,0.714
0.02,actuated,1,126.00,0.80,7.40,51.20,0.095
0.02,actuated,2,168.00,2.31,21.03,53.27,0.071
0.02,actuated,3,138.00,0.00,0.00,48.96,0.000
0.02,actuated,4,120.00,0.66,0.66,51.58,0.050
0.02,actuated,5,156.00,1.18,3.35,54.22,0.038
0.02,actuated,6,174.00,3.00,19.38,56.63,0.172
0.02,actuated,7,114.00,1.04,3.74,49.18,0.053
0.02,actuated,8,132.00,4.21,32.37,56.75,0.227
0.02,actuated,9,108.00,0.83,2.25,46.99,0.056
0.02,actuated,10,126.00,0.79,0.00,48.22,0.048
0.04,base,1,198.00,57.31,152.50,119.19,2.152
0.04,base,2,198.00,108.07,253.58,172.07,3.303
0.04,base,3,198.00,52.70,117.56,117.58,1.970
0.04,base,4,192.00,88.82,223.24,153.17,2.812
