lam,pol,seed,Q,W,W95,Tt,stops
0.02,base,1,96.00,9.14,32.98,64.85,0.625
0.02,base,2,138.00,10.30,60.40,61.15,0.435
0.02,base,3,120.00,17.17,83.27,71.29,0.650
0.02,base,4,114.00,12.02,55.21,64.94,0.579
0.02,base,5,144.00,12.27,48.95,64.80,0.542
0.02,base,6,132.00,13.39,59.22,65.85,0.636
0.02,base,7,132.00,8.15,30.80,59.31,0.409
0.02,base,8,156.00,8.21,37.73,59.87,0.423
0.02,base,9,90.00,3.61,16.87,54.66,0.333
0.02,base,10,186.00,13.95,55.25,70.11,0.774
0.02,signal,1,96.00,5.32,19.53,62.38,0.375
0.02,signal,2,138.00,6.08,20.16,63.45,0.565
0.02,signal,3,126.00,2.32,10.80,57.73,0.238
0.02,signal,4,114.00,3.45,16.86,60.76,0.316
0.02,signal,5,150.00,2.80,17.38,57.66,0.160
0.02,signal,6,126.00,1.84,10.50,55.32,0.190
0.02,signal,7,138.00,4.98,19.96,57.89,0.348
0.02,signal,8,156.00,3.26,15.25,57.38,0.269
0.02,signal,9,84.00,4.86,14.94,61.84,0.571
0.02,signal,10,216.00,7.63,20.95,65.99,0.611
0.02,cloud,1,96.00,0.00,0.00,53.77,0.000
0.02,cloud,2,144.00,0.00,0.00,53.16,0.000
0.02,cloud,3,120.00,0.00,0.00,55.50,0.000
0.02,cloud,4,114.00,0.00,0.00,54.28,0.000
0.02,cloud,5,150.00,0.00,0.00,53.22,0.000
0.02,cloud,6,138.00,0.00,0.00,54.22,0.000
0.02,cloud,7,138.00,0.00,0.00,53.22,0.000
0.02,cloud,8,162.00,0.00,0.00,54.61,0.000
0.02,cloud,9,90.00,0.00,0.00,53.67,0.000
0.02,cloud,10,216.00,0.00,0.00,55.13,0.000
0.04,base,1,168.00,48.53,160.00,108.31,1.750
0.04,base,2,204.00,56.02,183.58,117.37,2.059
0.04,base,3,216.00,57.69,133.62,123.08,2.389
0.04,base,4,198.00,73.18,192.26,131.96,2.636
0.04,base,5,210.00,51.21,177.69,111.34,1.971
0.04,base,6,216.00,51.56,117.20,114.98,2.028
0.04,base,7,216.00,58.49,141.15,120.68,2.361
0.04,base,8,210.00,78.81,151.66,143.15,2.857
0.04,base,9,174.00,56.08,134.94,117.41,2.172
0.04,base,10,204.00,135.79,285.95,196.19,4.353
0.04,signal,1,192.00,4.45,18.79,62.82,0.312
0.04,signal,2,258.00,3.98,20.15,60.24,0.279
0.04,signal,3,264.00,5.36,19.18,62.53,0.432
0.04,signal,4,288.00,8.23,23.98,68.14,0.500
0.04,signal,5,246.00,4.78,18.40,64.47,0.415
0.04,signal,6,270.00,3.48,16.34,62.11,0.356
0.04,signal,7,324.00,4.19,19.34,61.74,0.352
0.04,signal,8,270.00,3.79,17.02,58.59,0.311
0.04,signal,9,228.00,5.88,21.22,63.69,0.447
0.04,signal,10,342.00,6.86,20.82,65.91,0.491
0.04,cloud,1,210.00,0.00,0.00,56.09,0.000
0.04,cloud,2,264.00,0.00,0.00,57.02,0.000
0.04,cloud,3,276.00,0.00,0.00,56.89,0.000
0.04,cloud,4,294.00,0.00,0.00,56.12,0.000
0.04,cloud,5,258.00,0.00,0.00,54.86,0.000
0.04,cloud,6,270.00,0.00,0.00,56.74,0.000
0.04,cloud,7,336.00,0.00,0.00,56.09,0.000
0.04,cloud,8,276.00,0.00,0.00,56.58,0.000
0.04,cloud,9,252.00,0.00,0.00,55.91,0.000
0.04,cloud,10,348.00,0.03,0.00,58.43,0.000
0.06,base,1,204.00,80.16,270.96,142.16,2.824
0.06,base,2,210.00,133.97,296.33,197.31,4.429
0.06,base,3,216.00,129.67,237.50,192.81,4.500
0.06,base,4,204.00,133.21,282.10,192.01,4.294
0.06,base,5,216.00,125.15,287.02,187.97,4.194
0.06,base,6,210.00,135.59,241.06,198.62,4.686
0.06,base,7,210.00,128.52,273.30,191.39,4.114
0.06,base,8,216.00,147.90,267.85,210.97,4.750
0.06,base,9,186.00,117.76,230.90,179.33,3.806
0.06,base,10,210.00,189.09,372.92,248.09,5.686
0.06,signal,1,330.00,6.19,18.59,65.62,0.491
0.06,signal,2,432.00,10.16,28.33,71.97,0.639
0.06,signal,3,402.00,5.85,23.59,65.19,0.433
0.06,signal,4,402.00,6.58,22.57,65.11,0.403
0.06,signal,5,420.00,5.70,19.62,64.82,0.414
0.06,signal,6,414.00,7.00,20.12,68.47,0.536
0.06,signal,7,456.00,8.72,25.68,70.47,0.553
0.06,signal,8,384.00,6.33,22.67,66.75,0.438
0.06,signal,9,372.00,6.16,20.38,66.15,0.435
0.06,signal,10,522.00,8.20,23.86,68.20,0.540
